expert_id,round,years_experience,lcdp_experience_count,skill_id,project_stage,project_task,skill_name,round1_usage_label,round1_usage,panel_usage_mean_r1,panel_usage_sd_r1,round2_usage_label,round2_usage,round1_difficulty_label,round1_difficulty,panel_difficulty_mean_r1,panel_difficulty_sd_r1,round2_difficulty_label,round2_difficulty,round1_weight,panel_weight_mean_r1,panel_weight_sd_r1,round2_weight,comment,source_file
E01_RW,2,20+,4,116,Development,Data validation development,Domain Model,5 - Essential / continuous,5,4.13,0.83,5 - Essential / continuous,5,4 - Difficult,4,3.27,0.88,4 - Difficult,4,20.0,13.93,5.65,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,123,Development,Actions design and development,Functions,5 - Essential / continuous,5,3.93,0.96,4 - Frequent / important,4,5 - Very difficult,5,3.53,1.06,4 - Difficult,4,25.0,14.53,7.32,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,124,Development,Actions design and development,Java,4 - Frequent / important,4,2.8,1.37,3 - Moderate / recurring,3,5 - Very difficult,5,4.6,0.63,5 - Very difficult,5,20.0,12.73,6.65,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,125,Development,Actions design and development,JavaScript,4 - Frequent / important,4,2.6,1.06,3 - Moderate / recurring,3,5 - Very difficult,5,4.8,0.41,5 - Very difficult,5,20.0,12.47,5.32,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,131,Development,Programming,Expressions,5 - Essential / continuous,5,4.4,0.74,5 - Essential / continuous,5,4 - Difficult,4,3.27,1.03,4 - Difficult,4,20.0,14.67,6.14,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,149,Development,Programming,node.js,3 - Moderate / recurring,3,2.6,1.06,3 - Moderate / recurring,3,5 - Very difficult,5,4.27,0.96,5 - Very difficult,5,15.0,10.8,5.17,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,157,Implementation,Runtime server installation,+Cloud Based Environment,5 - Essential / continuous,5,4.2,0.68,5 - Essential / continuous,5,4 - Difficult,4,3.07,1.03,3 - Moderate,3,20.0,12.93,5.08,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,164,Implementation,Runtime server installation,HTTPS Server,4 - Frequent / important,4,2.93,1.1,3 - Moderate / recurring,3,5 - Very difficult,5,3.93,1.03,5 - Very difficult,5,20.0,11.33,5.19,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,165,Implementation,Runtime server installation,Java,4 - Frequent / important,4,2.73,1.22,3 - Moderate / recurring,3,5 - Very difficult,5,4.33,0.98,5 - Very difficult,5,20.0,11.47,5.72,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,171,Implementation,Runtime server installation,Relational Database,5 - Essential / continuous,5,3.8,1.32,4 - Frequent / important,4,5 - Very difficult,5,4.13,0.99,4 - Difficult,4,25.0,15.2,6.04,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,173,Implementation,Runtime server installation,SAML Authentication,5 - Essential / continuous,5,3.07,1.49,4 - Frequent / important,4,5 - Very difficult,5,4.33,0.82,4 - Difficult,4,25.0,13.33,7.67,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,176,Implementation,Runtime server installation,SOAP,4 - Frequent / important,4,2.8,1.32,3 - Moderate / recurring,3,5 - Very difficult,5,4.47,0.64,5 - Very difficult,5,20.0,12.47,6.53,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,180,Implementation,Runtime server installation,XML/XPath,4 - Frequent / important,4,2.87,1.36,3 - Moderate / recurring,3,4 - Difficult,4,3.93,0.96,4 - Difficult,4,16.0,10.73,5.23,12,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,183,Implementation,Database installation,Relational Database,5 - Essential / continuous,5,3.73,1.39,4 - Frequent / important,4,5 - Very difficult,5,4.2,1.01,5 - Very difficult,5,25.0,15.4,7.11,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,185,Implementation,Client module installation,.NET Framework,4 - Frequent / important,4,2.67,1.4,3 - Moderate / recurring,3,5 - Very difficult,5,4.27,1.16,5 - Very difficult,5,20.0,11.07,7.09,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,196,Implementation,Deployment,CI/CD,5 - Essential / continuous,5,3.33,1.63,4 - Frequent / important,4,5 - Very difficult,5,4.47,0.83,5 - Very difficult,5,25.0,14.87,8.52,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,199,Implementation,Deployment,Docker,5 - Essential / continuous,5,3.0,1.65,4 - Frequent / important,4,5 - Very difficult,5,4.33,0.98,5 - Very difficult,5,25.0,12.8,8.2,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,201,Implementation,Deployment,Kubernetes,4 - Frequent / important,4,2.73,1.33,4 - Frequent / important,4,5 - Very difficult,5,4.33,1.05,5 - Very difficult,5,20.0,11.47,6.41,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,205,Implementation,Deployment,Scripts,5 - Essential / continuous,5,3.2,1.52,4 - Frequent / important,4,4 - Difficult,4,4.13,0.74,4 - Difficult,4,20.0,12.53,5.32,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,206,Implementation,Deployment,SOAP,4 - Frequent / important,4,2.6,1.3,3 - Moderate / recurring,3,5 - Very difficult,5,4.27,1.1,5 - Very difficult,5,20.0,10.6,5.7,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,207,Implementation,Version control,Code Repository Concept,5 - Essential / continuous,5,3.67,1.35,4 - Frequent / important,4,4 - Difficult,4,3.4,1.18,4 - Difficult,4,20.0,12.27,6.24,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,208,Implementation,Version control,Custom Version Control,5 - Essential / continuous,5,3.47,1.51,4 - Frequent / important,4,4 - Difficult,4,3.6,1.06,4 - Difficult,4,20.0,12.0,5.98,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,209,Implementation,Version control,Git,5 - Essential / continuous,5,3.53,1.55,4 - Frequent / important,4,4 - Difficult,4,3.73,1.1,4 - Difficult,4,20.0,12.6,6.19,16,,Expert_Survey_Round2_E01_RW.xlsx
E02_AC,2,15-19,3,2,Design,Workflow model,Custom Process Model,4 - Frequent / important,4,3.93,0.88,4 - Frequent / important,4,2 - Easy,2,3.53,0.74,3 - Moderate,3,8.0,14.0,5.06,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,17,Design,Database model,Relational Database,3 - Moderate / recurring,3,3.0,1.07,3 - Moderate / recurring,3,5 - Very difficult,5,3.33,1.4,4 - Difficult,4,15.0,10.47,5.76,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,18,Design,Database model,XML/XPath,5 - Essential / continuous,5,2.53,1.36,3 - Moderate / recurring,3,5 - Very difficult,5,4.47,0.64,5 - Very difficult,5,25.0,11.33,6.65,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,24,Design,UI model,Expressions,4 - Frequent / important,4,4.13,0.92,4 - Frequent / important,4,2 - Easy,2,3.33,0.82,3 - Moderate,3,8.0,13.93,5.5,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,26,Design,UI model,Functions,3 - Moderate / recurring,3,3.47,0.83,3 - Moderate / recurring,3,3 - Moderate,3,3.67,1.05,3 - Moderate,3,9.0,12.67,5.18,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,27,Design,UI model,Model-driven Apps,3 - Moderate / recurring,3,3.87,0.92,4 - Frequent / important,4,3 - Moderate,3,3.47,1.13,3 - Moderate,3,9.0,13.67,6.73,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,28,Design,UI model,Reactive Web App,3 - Moderate / recurring,3,3.6,0.99,4 - Frequent / important,4,3 - Moderate,3,3.67,1.05,3 - Moderate,3,9.0,13.53,6.7,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,29,Design,UI model,Responsive Web Design,3 - Moderate / recurring,3,3.73,0.96,4 - Frequent / important,4,4 - Difficult,4,3.6,0.91,4 - Difficult,4,12.0,13.67,6.2,16,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,35,Design,Validations,JavaScript,4 - Frequent / important,4,2.8,1.21,3 - Moderate / recurring,3,4 - Difficult,4,4.53,0.83,4 - Difficult,4,16.0,12.2,5.0,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,36,Design,Validations,Scripts,4 - Frequent / important,4,2.93,0.96,3 - Moderate / recurring,3,5 - Very difficult,5,4.4,0.74,5 - Very difficult,5,20.0,12.87,5.04,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,37,Design,Validations,Transactions,2 - Occasional / peripheral,2,3.07,1.1,3 - Moderate / recurring,3,5 - Very difficult,5,3.87,0.92,4 - Difficult,4,10.0,11.73,5.4,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,43,Design,Application logic,UML,3 - Moderate / recurring,3,3.27,1.03,3 - Moderate / recurring,3,2 - Easy,2,3.6,0.91,3 - Moderate,3,6.0,12.0,5.92,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,49,Design,Application logic,Formulas,3 - Moderate / recurring,3,4.27,0.8,3 - Moderate / recurring,3,4 - Difficult,4,3.13,0.99,4 - Difficult,4,12.0,13.4,5.17,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,50,Design,Application logic,Functions,2 - Occasional / peripheral,2,3.87,0.99,3 - Moderate / recurring,3,4 - Difficult,4,3.6,1.12,4 - Difficult,4,8.0,14.47,7.38,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,51,Design,Application logic,Java,3 - Moderate / recurring,3,2.67,1.23,3 - Moderate / recurring,3,5 - Very difficult,5,4.8,0.56,5 - Very difficult,5,15.0,12.73,6.23,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,52,Design,Application logic,JavaScript,4 - Frequent / important,4,2.8,1.08,3 - Moderate / recurring,3,5 - Very difficult,5,4.73,0.59,5 - Very difficult,5,20.0,13.2,5.54,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,53,Design,Application logic,Microservices,2 - Occasional / peripheral,2,2.67,1.11,3 - Moderate / recurring,3,5 - Very difficult,5,4.53,0.83,5 - Very difficult,5,10.0,12.0,5.81,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,54,Design,Application logic,SQL,4 - Frequent / important,4,3.2,1.08,4 - Frequent / important,4,5 - Very difficult,5,4.67,0.62,5 - Very difficult,5,20.0,15.0,5.9,20,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,60,Development,Workflow design and development,Java API,2 - Occasional / peripheral,2,2.8,1.32,2 - Occasional / peripheral,2,4 - Difficult,4,4.6,0.63,5 - Very difficult,5,8.0,12.6,5.91,10,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,61,Development,Workflow design and development,JavaScript,3 - Moderate / recurring,3,2.8,1.08,3 - Moderate / recurring,3,4 - Difficult,4,4.67,0.62,5 - Very difficult,5,12.0,13.0,5.53,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,107,Development,GUI design and development,Programming Functions,4 - Frequent / important,4,3.4,0.99,4 - Frequent / important,4,4 - Difficult,4,4.0,1.0,4 - Difficult,4,16.0,13.8,6.19,16,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,111,Development,GUI design and development,XML,4 - Frequent / important,4,2.8,1.26,4 - Frequent / important,4,3 - Moderate,3,3.73,1.1,3 - Moderate,3,12.0,10.13,5.38,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,115,Development,Data validation development,Data Fields,3 - Moderate / recurring,3,4.07,0.88,4 - Frequent / important,4,1 - Very easy,1,2.73,0.96,2 - Easy,2,3.0,11.33,5.02,8,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,116,Development,Data validation development,Domain Model,3 - Moderate / recurring,3,4.13,0.83,4 - Frequent / important,4,1 - Very easy,1,3.27,0.88,2 - Easy,2,3.0,13.93,5.65,8,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,123,Development,Actions design and development,Functions,3 - Moderate / recurring,3,3.93,0.96,3 - Moderate / recurring,3,4 - Difficult,4,3.53,1.06,4 - Difficult,4,12.0,14.53,7.32,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,124,Development,Actions design and development,Java,2 - Occasional / peripheral,2,2.8,1.37,3 - Moderate / recurring,3,4 - Difficult,4,4.6,0.63,5 - Very difficult,5,8.0,12.73,6.65,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,125,Development,Actions design and development,JavaScript,2 - Occasional / peripheral,2,2.6,1.06,3 - Moderate / recurring,3,4 - Difficult,4,4.8,0.41,5 - Very difficult,5,8.0,12.47,5.32,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,131,Development,Programming,Expressions,4 - Frequent / important,4,4.4,0.74,4 - Frequent / important,4,1 - Very easy,1,3.27,1.03,2 - Easy,2,4.0,14.67,6.14,8,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,149,Development,Programming,node.js,3 - Moderate / recurring,3,2.6,1.06,3 - Moderate / recurring,3,3 - Moderate,3,4.27,0.96,4 - Difficult,4,9.0,10.8,5.17,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,157,Implementation,Runtime server installation,+Cloud Based Environment,4 - Frequent / important,4,4.2,0.68,4 - Frequent / important,4,4 - Difficult,4,3.07,1.03,4 - Difficult,4,16.0,12.93,5.08,16,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,164,Implementation,Runtime server installation,HTTPS Server,3 - Moderate / recurring,3,2.93,1.1,3 - Moderate / recurring,3,4 - Difficult,4,3.93,1.03,4 - Difficult,4,12.0,11.33,5.19,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,165,Implementation,Runtime server installation,Java,3 - Moderate / recurring,3,2.73,1.22,3 - Moderate / recurring,3,4 - Difficult,4,4.33,0.98,4 - Difficult,4,12.0,11.47,5.72,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,171,Implementation,Runtime server installation,Relational Database,3 - Moderate / recurring,3,3.8,1.32,3 - Moderate / recurring,3,5 - Very difficult,5,4.13,0.99,5 - Very difficult,5,15.0,15.2,6.04,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,173,Implementation,Runtime server installation,SAML Authentication,3 - Moderate / recurring,3,3.07,1.49,3 - Moderate / recurring,3,5 - Very difficult,5,4.33,0.82,5 - Very difficult,5,15.0,13.33,7.67,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,176,Implementation,Runtime server installation,SOAP,3 - Moderate / recurring,3,2.8,1.32,3 - Moderate / recurring,3,4 - Difficult,4,4.47,0.64,4 - Difficult,4,12.0,12.47,6.53,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,180,Implementation,Runtime server installation,XML/XPath,3 - Moderate / recurring,3,2.87,1.36,3 - Moderate / recurring,3,4 - Difficult,4,3.93,0.96,4 - Difficult,4,12.0,10.73,5.23,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,183,Implementation,Database installation,Relational Database,2 - Occasional / peripheral,2,3.73,1.39,3 - Moderate / recurring,3,5 - Very difficult,5,4.2,1.01,5 - Very difficult,5,10.0,15.4,7.11,15,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,185,Implementation,Client module installation,.NET Framework,1 - Rare / avoidable,1,2.67,1.4,2 - Occasional / peripheral,2,5 - Very difficult,5,4.27,1.16,5 - Very difficult,5,5.0,11.07,7.09,10,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,196,Implementation,Deployment,CI/CD,4 - Frequent / important,4,3.33,1.63,3 - Moderate / recurring,3,3 - Moderate,3,4.47,0.83,4 - Difficult,4,12.0,14.87,8.52,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,199,Implementation,Deployment,Docker,3 - Moderate / recurring,3,3.0,1.65,3 - Moderate / recurring,3,2 - Easy,2,4.33,0.98,3 - Moderate,3,6.0,12.8,8.2,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,201,Implementation,Deployment,Kubernetes,3 - Moderate / recurring,3,2.73,1.33,3 - Moderate / recurring,3,2 - Easy,2,4.33,1.05,3 - Moderate,3,6.0,11.47,6.41,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,205,Implementation,Deployment,Scripts,3 - Moderate / recurring,3,3.2,1.52,3 - Moderate / recurring,3,4 - Difficult,4,4.13,0.74,4 - Difficult,4,12.0,12.53,5.32,12,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,206,Implementation,Deployment,SOAP,3 - Moderate / recurring,3,2.6,1.3,3 - Moderate / recurring,3,2 - Easy,2,4.27,1.1,3 - Moderate,3,6.0,10.6,5.7,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,207,Implementation,Version control,Code Repository Concept,3 - Moderate / recurring,3,3.67,1.35,3 - Moderate / recurring,3,1 - Very easy,1,3.4,1.18,3 - Moderate,3,3.0,12.27,6.24,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,208,Implementation,Version control,Custom Version Control,3 - Moderate / recurring,3,3.47,1.51,3 - Moderate / recurring,3,1 - Very easy,1,3.6,1.06,3 - Moderate,3,3.0,12.0,5.98,9,,Expert_Survey_Round2_E02_AC.xlsx
E02_AC,2,15-19,3,209,Implementation,Version control,Git,3 - Moderate / recurring,3,3.53,1.55,3 - Moderate / recurring,3,1 - Very easy,1,3.73,1.1,3 - Moderate,3,3.0,12.6,6.19,9,,Expert_Survey_Round2_E02_AC.xlsx
E03_PO,2,15-19,5+,2,Design,Workflow model,Custom Process Model,4 - Frequent / important,4,3.93,0.88,4 - Frequent / important,4,4 - Difficult,4,3.53,0.74,4 - Difficult,4,16.0,14.0,5.06,16,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,17,Design,Database model,Relational Database,4 - Frequent / important,4,3.0,1.07,4 - Frequent / important,4,5 - Very difficult,5,3.33,1.4,4 - Difficult,4,20.0,10.47,5.76,16,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,18,Design,Database model,XML/XPath,3 - Moderate / recurring,3,2.53,1.36,3 - Moderate / recurring,3,4 - Difficult,4,4.47,0.64,4 - Difficult,4,12.0,11.33,6.65,12,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,24,Design,UI model,Expressions,5 - Essential / continuous,5,4.13,0.92,5 - Essential / continuous,5,4 - Difficult,4,3.33,0.82,4 - Difficult,4,20.0,13.93,5.5,20,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,26,Design,UI model,Functions,4 - Frequent / important,4,3.47,0.83,4 - Frequent / important,4,4 - Difficult,4,3.67,1.05,4 - Difficult,4,16.0,12.67,5.18,16,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,27,Design,UI model,Model-driven Apps,4 - Frequent / important,4,3.87,0.92,4 - Frequent / important,4,4 - Difficult,4,3.47,1.13,4 - Difficult,4,16.0,13.67,6.73,16,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,28,Design,UI model,Reactive Web App,3 - Moderate / recurring,3,3.6,0.99,3 - Moderate / recurring,3,5 - Very difficult,5,3.67,1.05,4 - Difficult,4,15.0,13.53,6.7,12,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,29,Design,UI model,Responsive Web Design,3 - Moderate / recurring,3,3.73,0.96,3 - Moderate / recurring,3,4 - Difficult,4,3.6,0.91,4 - Difficult,4,12.0,13.67,6.2,12,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,35,Design,Validations,JavaScript,3 - Moderate / recurring,3,2.8,1.21,3 - Moderate / recurring,3,4 - Difficult,4,4.53,0.83,4 - Difficult,4,12.0,12.2,5.0,12,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,36,Design,Validations,Scripts,3 - Moderate / recurring,3,2.93,0.96,3 - Moderate / recurring,3,4 - Difficult,4,4.4,0.74,4 - Difficult,4,12.0,12.87,5.04,12,,Expert_Survey_Round2_E03_PO.xlsx
E03_PO,2,15-19,5+,37,Design,Validations,Transactions,3 - Moderate / recurring,3,3.07,1.1,3 - Moderate / recurring,3,4 - Difficult,4,3.87,0.92,4 - Difficult,4,12.0,11.73,5.4,12,,Expert_Survey_Round2_E03_PO.xlsx
