skill_id,project_stage,project_task,skill_name,round1_usage_mean,round2_usage_mean,usage_mean_change,round1_usage_sd,round2_usage_sd,usage_sd_change,round1_difficulty_mean,round2_difficulty_mean,difficulty_mean_change,round1_difficulty_sd,round2_difficulty_sd,difficulty_sd_change,round1_weight_mean,round2_weight_mean,weight_mean_change,round1_weight_sd,round2_weight_sd,weight_sd_change,weight_sd_reduced
37,Design,Validations,Transactions,3.066666666666667,3.1333333333333333,0.06666666666666643,1.0997835284835873,0.8338093878327919,-0.2659741406507954,3.8666666666666667,3.7333333333333334,-0.1333333333333333,0.9154754164341269,0.7988086367179802,-0.1166667797161467,11.733333333333333,11.8,0.0666666666666682,5.40458359261135,4.813671007809796,-0.5909125848015542,True
43,Design,Application logic,UML,3.2666666666666666,3.2,-0.06666666666666643,1.0327955589886446,0.7745966692414834,-0.2581988897471612,3.6,3.6,0.0,0.9102589898327995,0.7367883976130073,-0.17347059221979222,12,11.8,-0.1999999999999993,5.916079783099616,5.031330411957231,-0.8847493711423855,True
49,Design,Application logic,Formulas,4.266666666666667,4.266666666666667,0.0,0.7988086367179802,0.7037315505489968,-0.09507708616898336,3.1333333333333333,3.2,0.06666666666666687,0.990430401872025,0.9411239481143202,-0.049306453757704816,13.4,13.6,0.1999999999999993,5.16582174350938,4.563832975533989,-0.6019887679753904,True
50,Design,Application logic,Functions,3.8666666666666667,3.7333333333333334,-0.1333333333333333,0.990430401872025,0.7037315505489968,-0.2866988513230282,3.6,3.466666666666667,-0.1333333333333333,1.1212238211627763,0.990430401872025,-0.13079341929075128,14.466666666666667,13.333333333333334,-1.1333333333333329,7.376281163941882,5.9481890001035085,-1.4280921638383735,True
51,Design,Application logic,Java,2.6666666666666665,2.6,-0.06666666666666643,1.2344267996967353,0.828078671210825,-0.4063481284859103,4.8,4.8,0.0,0.5606119105813882,0.5606119105813882,0.0,12.733333333333333,12.4,-0.33333333333333215,6.227435457790982,4.171330722922842,-2.05610473486814,True
52,Design,Application logic,JavaScript,2.8,2.8666666666666667,0.06666666666666687,1.082325538564332,0.6399404734221844,-0.4423850651421476,4.733333333333333,4.8,0.06666666666666643,0.5936168397046637,0.4140393356054125,-0.17957750409925122,13.2,13.733333333333333,0.5333333333333332,5.5446241660600535,3.305118685283408,-2.2395054807766455,True
53,Design,Application logic,Microservices,2.6666666666666665,2.8,0.1333333333333333,1.1126972805283737,0.6761234037828132,-0.4365738767455605,4.533333333333333,4.533333333333333,0.0,0.8338093878327919,0.8338093878327919,0.0,12,12.666666666666666,0.6666666666666661,5.80640040940045,4.011887099014389,-1.794513310386061,True
54,Design,Application logic,SQL,3.2,3.2666666666666666,0.06666666666666643,1.082325538564332,0.7988086367179802,-0.2835169018463518,4.666666666666667,4.666666666666667,0.0,0.6172133998483676,0.6172133998483676,0.0,15,15.333333333333334,0.3333333333333339,5.903993805649093,4.715728494951256,-1.1882653106978367,True
60,Development,Workflow design and development,Java API,2.8,2.8,0.0,1.3201731488169053,1.01418510567422,-0.30598804314268535,4.6,4.733333333333333,0.13333333333333375,0.6324555320336759,0.45773770821706344,-0.17471782381661244,12.6,13.066666666666666,0.4666666666666668,5.913664563654974,4.399134113934349,-1.514530449720625,True
61,Development,Workflow design and development,JavaScript,2.8,2.8666666666666667,0.06666666666666687,1.082325538564332,0.7432233529572065,-0.33910218560712546,4.666666666666667,4.8,0.13333333333333286,0.6172133998483676,0.4140393356054125,-0.20317406424295514,13,13.733333333333333,0.7333333333333325,5.529143565818179,3.8072612328599273,-1.721882332958252,True
107,Development,GUI design and development,Programming Functions,3.4,3.466666666666667,0.06666666666666687,0.9856107606091623,0.7432233529572065,-0.24238740765195577,4,3.8666666666666667,-0.1333333333333333,1.0,0.9154754164341269,-0.08452458356587311,13.8,13.733333333333333,-0.0666666666666682,6.189853448530564,5.522249369164534,-0.6676040793660301,True
111,Development,GUI design and development,XML,2.8,2.933333333333333,0.1333333333333333,1.2649110640673518,0.9611501047232549,-0.30376095934409686,3.7333333333333334,3.6,-0.1333333333333333,1.0997835284835873,0.9856107606091623,-0.11417276787442499,10.133333333333333,10.533333333333333,0.40000000000000036,5.383395989610311,4.596064569151474,-0.7873314204588375,True
115,Development,Data validation development,Data Fields,4.066666666666666,4.133333333333334,0.06666666666666732,0.8837151016885368,0.7432233529572065,-0.1404917487313303,2.7333333333333334,2.933333333333333,0.19999999999999973,0.9611501047232549,0.7988086367179802,-0.16234146800527471,11.333333333333334,12.133333333333333,0.7999999999999989,5.023753102820165,4.085980677296222,-0.937772425523943,True
116,Development,Data validation development,Domain Model,4.133333333333334,4.266666666666667,0.13333333333333286,0.8338093878327919,0.5936168397046637,-0.24019254812812818,3.2666666666666666,3.3333333333333335,0.06666666666666687,0.8837151016885368,0.7237468644557459,-0.15996823723279097,13.933333333333334,14.4,0.4666666666666668,5.650115885874335,4.516635916254486,-1.1334799696198496,True
123,Development,Actions design and development,Functions,3.933333333333333,3.8666666666666667,-0.06666666666666643,0.9611501047232549,0.7432233529572065,-0.21792675176604837,3.533333333333333,3.4,-0.1333333333333333,1.0600988273786194,0.9102589898327995,-0.14983983754581987,14.533333333333333,13.533333333333333,-1.0,7.3179492313339365,5.841558826529912,-1.4763904048040244,True
124,Development,Actions design and development,Java,2.8,2.8666666666666667,0.06666666666666687,1.3732131246511903,0.990430401872025,-0.38278272277916525,4.6,4.666666666666667,0.06666666666666732,0.6324555320336759,0.6172133998483676,-0.015242132185308233,12.733333333333333,13.266666666666667,0.533333333333335,6.649024274998837,4.891197146283262,-1.757827128715575,True
125,Development,Actions design and development,JavaScript,2.6,2.6666666666666665,0.06666666666666643,1.0555973258234952,0.7237468644557459,-0.3318504613677493,4.8,4.866666666666666,0.06666666666666643,0.4140393356054125,0.3518657752744984,-0.06217356033091409,12.466666666666667,12.933333333333334,0.4666666666666668,5.316640543300503,3.5750457872525745,-1.7415947560479283,True
131,Development,Programming,Expressions,4.4,4.4,0.0,0.7367883976130073,0.7367883976130073,0.0,3.2666666666666666,3.2666666666666666,0.0,1.0327955589886446,0.8837151016885368,-0.14908045730010777,14.666666666666666,14.6,-0.06666666666666643,6.137317546507323,5.539468772880148,-0.5978487736271756,True
149,Development,Programming,node.js,2.6,2.8,0.19999999999999973,1.0555973258234952,0.7745966692414834,-0.2810006565820118,4.266666666666667,4.2,-0.06666666666666643,0.9611501047232549,0.8618916073713346,-0.09925849735192027,10.8,11.666666666666666,0.8666666666666654,5.171349644228008,4.253849796976628,-0.9174998472513805,True
157,Implementation,Runtime server installation,+Cloud Based Environment,4.2,4.2,0.0,0.6761234037828132,0.6761234037828132,0.0,3.066666666666667,3,-0.06666666666666687,1.0327955589886446,0.9258200997725514,-0.1069754592160932,12.933333333333334,12.666666666666666,-0.2666666666666675,5.077494695315041,4.670066788550653,-0.4074279067643882,True
164,Implementation,Runtime server installation,HTTPS Server,2.933333333333333,3.066666666666667,0.13333333333333375,1.0997835284835873,0.7988086367179802,-0.3009748917656071,3.933333333333333,3.933333333333333,0.0,1.0327955589886446,0.8837151016885368,-0.14908045730010777,11.333333333333334,12,0.6666666666666661,5.19156825558337,3.854496446637726,-1.3370718089456437,True
165,Implementation,Runtime server installation,Java,2.7333333333333334,2.8666666666666667,0.1333333333333333,1.2227992865708155,0.9154754164341269,-0.3073238701366886,4.333333333333333,4.333333333333333,0.0,0.9759000729485332,0.7237468644557459,-0.25215320849278733,11.466666666666667,12.266666666666667,0.8000000000000007,5.71797499952895,4.3006090377106005,-1.4173659618183496,True
171,Implementation,Runtime server installation,Relational Database,3.8,3.8666666666666667,0.06666666666666687,1.3201731488169053,0.9154754164341269,-0.4046977323827784,4.133333333333334,4,-0.13333333333333375,0.990430401872025,0.8451542547285166,-0.14527614714350845,15.2,15.2,0.0,6.0379750626466535,4.4110251480968525,-1.626949914549801,True
173,Implementation,Runtime server installation,SAML Authentication,3.066666666666667,3.2,0.1333333333333333,1.486446705914413,1.01418510567422,-0.47226160024019315,4.333333333333333,4.133333333333334,-0.1999999999999993,0.816496580927726,0.7432233529572065,-0.0732732279705195,13.333333333333334,13.4,0.06666666666666643,7.668736780560655,5.578018081208209,-2.090718699352446,True
176,Implementation,Runtime server installation,SOAP,2.8,2.8666666666666667,0.06666666666666687,1.3201731488169053,0.990430401872025,-0.32974274694488026,4.466666666666667,4.466666666666667,0.0,0.6399404734221844,0.6399404734221844,0.0,12.466666666666667,12.8,0.3333333333333339,6.534159325822879,4.974219249576474,-1.5599400762464048,True
180,Implementation,Runtime server installation,XML/XPath,2.8666666666666667,2.933333333333333,0.06666666666666643,1.3557637102737476,1.0327955589886446,-0.32296815128510303,3.933333333333333,3.8666666666666667,-0.06666666666666643,0.9611501047232549,0.7432233529572065,-0.21792675176604837,10.733333333333333,11.066666666666666,0.3333333333333339,5.229950377621279,3.972524686009186,-1.257425691612093,True
183,Implementation,Database installation,Relational Database,3.7333333333333334,3.8666666666666667,0.1333333333333333,1.3870146083619754,0.9154754164341269,-0.47153919192784854,4.2,4.133333333333334,-0.06666666666666643,1.01418510567422,0.9154754164341269,-0.09870968924009305,15.4,16,0.5999999999999996,7.109349980332741,5.707138387268051,-1.4022115930646901,True
185,Implementation,Client module installation,.NET Framework,2.6666666666666665,2.8,0.1333333333333333,1.3972762620115438,1.01418510567422,-0.3830911563373238,4.266666666666667,4.2,-0.06666666666666643,1.162919151265879,1.01418510567422,-0.14873404559165904,11.066666666666666,11.733333333333333,0.6666666666666661,7.085867893880312,5.737927284639421,-1.347940609240891,True
196,Implementation,Deployment,CI/CD,3.3333333333333335,3.4,0.06666666666666643,1.632993161855452,1.1212238211627763,-0.5117693406926758,4.466666666666667,4.533333333333333,0.06666666666666643,0.8338093878327919,0.7432233529572065,-0.09058603487558536,14.866666666666667,15.533333333333333,0.6666666666666661,8.517768543015299,6.3343357602679635,-2.183432782747335,True
199,Implementation,Deployment,Docker,3,3.1333333333333333,0.1333333333333333,1.647508942095828,1.1872336794093274,-0.46027526268650054,4.333333333333333,4.2,-0.13333333333333286,0.9759000729485332,0.7745966692414834,-0.2013034037070498,12.8,13.133333333333333,0.33333333333333215,8.19581774879289,5.914469746389137,-2.281348002403754,True
201,Implementation,Deployment,Kubernetes,2.7333333333333334,2.933333333333333,0.19999999999999973,1.3345232785352157,0.9611501047232549,-0.3733731738119608,4.333333333333333,4.2,-0.13333333333333286,1.0465362369445672,0.8618916073713346,-0.18464462957323258,11.466666666666667,12.2,0.7333333333333325,6.4127848493310236,4.872664275615255,-1.5401205737157682,True
205,Implementation,Deployment,Scripts,3.2,3.2666666666666666,0.06666666666666643,1.52127765851133,1.162919151265879,-0.35835850724545093,4.133333333333334,4.066666666666666,-0.06666666666666732,0.7432233529572065,0.5936168397046637,-0.14960651325254282,12.533333333333333,12.933333333333334,0.40000000000000036,5.316640543300503,4.008324670815311,-1.308315872485192,True
206,Implementation,Deployment,SOAP,2.6,2.8,0.19999999999999973,1.2983506020002016,1.01418510567422,-0.28416549632598165,4.266666666666667,4.2,-0.06666666666666643,1.0997835284835873,0.9411239481143202,-0.15865958036926708,10.6,11.466666666666667,0.8666666666666671,5.704634707223342,4.405624111238248,-1.2990105959850933,True
207,Implementation,Version control,Code Repository Concept,3.6666666666666665,3.6,-0.06666666666666643,1.3451854182690985,1.0555973258234952,-0.28958809244560335,3.4,3.533333333333333,0.1333333333333333,1.1832159566199232,0.990430401872025,-0.19278555474789816,12.266666666666667,12.4,0.13333333333333286,6.238894896038041,4.807731867969107,-1.4311630280689345,True
208,Implementation,Version control,Custom Version Control,3.466666666666667,3.4,-0.06666666666666687,1.505545305418162,1.1212238211627763,-0.3843214842553857,3.6,3.6,0.0,1.0555973258234952,0.6324555320336759,-0.4231417937898193,12,12,0,5.976143046671968,3.946064947695181,-2.0300780989767873,True
209,Implementation,Version control,Git,3.533333333333333,3.6,0.06666666666666687,1.5522640914238175,1.0555973258234952,-0.4966667656003223,3.7333333333333334,3.8,0.06666666666666643,1.0997835284835873,0.7745966692414834,-0.3251868592421039,12.6,13.333333333333334,0.7333333333333343,6.185235877243717,4.029651999626672,-2.155583877617045,True
